Validated By,Timestamp,Organization Name,Website,Type of Service ,Mission: ,Telephone: ,Email: ,"Address (#, Street Name, District/city, State, Zip Code)",Longitude (Example -72.4234),Latitude (Example 42.24345)
,11/5/2018 0:31:33,Breakthrough Greater Boston-Cambridge Campus,http://breakthroughgreaterboston.org/,Resettlement,"Our mission at Breakthrough Greater Boston is to inspire excitement for learning, create paths to college and promote careers in education.",(617) 349-6647,info@btgbmail.org,"459 Broadway st, Cambridge, MA, 02138",-71.110603,42.37467
,11/5/2018 0:36:11,Breakthrough Greater Boston-Boston Campus  ,http://breakthroughgreaterboston.org/,Education,"Our mission at Breakthrough Greater Boston is to inspire excitement for learning, create paths to college and promote careers in education.",(617) 349-6647,info@btgbmail.org,"9 Peacevale Rd, Dorchester, MA, 02124",-71.076189,42.28483
,11/5/2018 0:42:07,Breakthrough Greater Boston-Somerville Campus,http://breakthroughgreaterboston.org,Education,"Our mission at Breakthrough Greater Boston is to inspire excitement for learning, create paths to college and promote careers in education.",(617) 349-6647,info@btgbmail.org,"290 Washington St, Somerville, MA, 02143",-71.098928,42.379464
,11/5/2018 0:54:24,Bridge Over Troubled Waters ,https://www.bridgeotw.org/,Community Center,"Every youth deserves a chance for a healthy, productive, independent life. We provide life-changing services for homeless and high-risk youth ages 14 to 24.",617-423-9575,bridge@bridgeotw.org,"47, West St, Boston, MA, 02111",-71.098939,42.379424
,11/5/2018 1:05:35,Brockton Area Workforce Investment Board,http://bawib.org/,Job Placement,"The Brockton Area Workforce Investment Board (BAWIB) is a business-led, policy-setting board that oversees workforce development initiatives in our ten-community region. BAWIB, along with the Mayor of Brockton, charters CareerWorks, the One Stop Career Center operated by the University of Massachusetts Donahue Institute and YouthWorks, the youth career and educational resource center. Providing oversight and leveraging resources, BAWIB works with our community leaders to respond to current trends in our region.",(508) 584-3234,bawib@bawib.org,"34, School Str, Brockton, MA, 02301",-71.063006,42.083412
,11/5/2018 1:16:26,Brookline Teen Center ,https://brooklineteencenter.org/,Education,"The mission of the Brookline Teen Center is to provide a safe, enjoyable environment where teenagers can engage in constructive, educational and leisure activities. The Brookline Teen Center strives to develop and empower diverse leaders who will enrich the Brookline community.",(617) 396-8349,info@brooklineteencenter.org,"40, Aspinwall Ave, Brookline, MA, 02446 ",-71.120198,42.337182
,11/5/2018 1:21:22,Brookview House ,https://brookviewhouse.org/,Resettlement,"Brookview House is an independent, nonprofit organization for women and children experiencing homelessness that not only provides a safe place to live but support services and programs on site to confront the root causes of homelessness and transform lives.",(617) 265-2965,n/a ,"2, Brookview st, Dorchester Center, MA,02124-2740",-71.090672,42.288665
,11/5/2018 1:25:04,Budget Buddies ,http://www.budgetbuddies.org/,Community Center,Budget Buddies helps low-income women become more economically self-sufficient and transform their lives by teaching them core money-management skills and pairing them with personal financial coaches.,(978) 703-0820,n/a,"114, Turnpike Rd, Chelmsford, MA, 01824",-71.330519,42.592518
,11/5/2018 1:32:15,Calmer Choice ,https://calmerchoice.org/,Community Center,"Calmer Choice is a universal prevention program committed to teaching young people how to effectively and safely manage stress and resolve conflict so that they live happy, healthy and successful lives. Our goal is to provide skills that will diminish the risk of violence, substance abuse, and other self-destructive behaviors.",508-398-0808,info@CalmerChoice.org,"23G2, White's Path, South Yarmouth, MA,02664 ",-70.209449,41.688274
,11/5/2018 1:36:48,Cambridge Family & Children's Service,https://www.helpfamilies.org/,Resettlement,"To provide high quality support and advocacy for children, adults, and families to develop and nurture safe, permanent relationships and maximize individual growth.",(617) 876-4210,CFCS@helpfamilies.org,"60,Gore St, Cambridge, MA, 02141 ",-71.080321,42.371878
,11/5/2018 1:39:20,Camp Harbor View ,http://campharborview.org/,Education,Camp Harbor View changes lives and enhances Boston by exposing underserved youth to the possibilities of a future they may have never envisioned,(617) 369-0070,info@campharborview.org,"200, Clarendon St, Boston, MA, 02116 ",-71.075249,42.349571
,11/5/2018 8:48:14,Cape Cod Child Development ,https://www.cccdp.org/,Community Center,Our mission is to provide world-class child and family focused programs that nurture each child’s full potential.,508-775-6240,info@cccdp.org,"83, Pearl st, Hyannis, MA, 02601",-70.28382,41.650052
